INSTNM,2017,2018,2019,2020,2021
Grand Canyon University,0.0,0.09,0.19,0.29,0.33
Boise State University,0.0,0.06,0.1,0.0,0.08
University of Idaho,0.0,-0.03,-0.05,-0.15,-0.13
Carroll College,0.0,-0.03,-0.11,-0.19,-0.19
Montana Technological University,0.0,-0.04,-0.1,-0.14,-0.11
Montana State University,0.0,0.01,0.01,-0.03,-0.0
The University of Montana,0.0,-0.11,-0.17,-0.25,-0.23
Rocky Mountain College,0.0,-0.0,-0.05,-0.07,-0.09
Gonzaga University,0.0,0.02,0.0,-0.07,-0.04
Washington State University,0.0,0.03,0.03,0.01,-0.04
University of Washington-Seattle Campus,0.0,0.02,0.02,0.03,0.16
